PDB, CONSENSUS, DSSP, STRIDE, KAKSI, PROSS
3dwvB, 0.8661417322834646, 0.7852760736196319, 0.803680981595092, 0.7754010695187166, 0.7914110429447853
3me7B, 0.9307692307692308, 0.9113924050632911, 0.8860759493670886, 0.8470588235294118, 0.8670886075949367
2jekA, 0.9813084112149533, 0.8928571428571429, 0.8928571428571429, 0.8551724137931035, 0.8714285714285714
3gj0B, 0.8928571428571429, 0.8549222797927462, 0.8341968911917098, 0.8280542986425339, 0.8186528497409327
3d8tA, 0.9593908629441624, 0.9166666666666666, 0.9126984126984127, 0.8356643356643356, 0.9087301587301587
3nrfA, 0.9333333333333333, 0.8217821782178217, 0.7821782178217822, 0.6886792452830188, 0.7623762376237624
2p7iB, 0.8986486486486487, 0.8495575221238938, 0.8672566371681416, 0.76, 0.7522123893805309
2i0kA, 0.8942307692307693, 0.8488805970149254, 0.835820895522388, 0.7932263814616756, 0.8134328358208955
2eu9A, 0.9152542372881356, 0.8608695652173913, 0.855072463768116, 0.7661971830985915, 0.7768115942028986
2jjqA, 0.959866220735786, 0.9132653061224489, 0.9183673469387755, 0.8376470588235294, 0.8622448979591837
1cg5A, 0.9338842975206612, 0.8936170212765957, 0.900709219858156, 0.8865248226950354, 0.8723404255319149
2xb4A, 0.9642857142857143, 0.8789237668161435, 0.8789237668161435, 0.8565022421524664, 0.8878923766816144
3d7aB, 0.9245283018867925, 0.8582089552238806, 0.8507462686567164, 0.8188405797101449, 0.8432835820895522
2v6aO, 0.839622641509434, 0.8273381294964028, 0.8201438848920863, 0.8071428571428572, 0.7410071942446043
2icgA, 0.9622641509433962, 0.8782051282051282, 0.8461538461538461, 0.8125, 0.8141025641025641
2ywnA, 0.9279279279279279, 0.8933333333333333, 0.88, 0.7707006369426752, 0.8066666666666666
2z0qA, 0.9004149377593361, 0.8652037617554859, 0.8401253918495298, 0.78125, 0.7962382445141066
2dykA, 0.9327731092436975, 0.8666666666666667, 0.88, 0.8074534161490683, 0.8733333333333333
2ciaA, 0.9333333333333333, 0.8571428571428571, 0.8367346938775511, 0.8137254901960784, 0.8571428571428571
3i4gA, 0.939209726443769, 0.852, 0.82, 0.8087121212121212, 0.78
1wpnB, 0.9602649006622517, 0.93048128342246, 0.8983957219251337, 0.8404255319148937, 0.893048128342246
3q34A, 0.95, 0.872093023255814, 0.877906976744186, 0.7989130434782609, 0.8372093023255814
1qbzA, 0.946236559139785, 0.9313725490196079, 0.9411764705882353, 0.8699186991869918, 0.9411764705882353
3p6lA, 0.9748427672955975, 0.9108527131782945, 0.8294573643410853, 0.8015267175572519, 0.7868217054263565
1vk4A, 0.9547738693467337, 0.8700361010830325, 0.8122743682310469, 0.8657718120805369, 0.8050541516245487
3pimA, 0.8814814814814815, 0.7861271676300579, 0.8092485549132948, 0.8502673796791443, 0.8092485549132948
2vxgB, 0.956140350877193, 0.9296875, 0.921875, 0.8848920863309353, 0.9296875
2a6xA, 0.9363057324840764, 0.8165137614678899, 0.8073394495412844, 0.8230088495575221, 0.8669724770642202
1wmdA, 0.8833819241982507, 0.8410138248847926, 0.8271889400921659, 0.815668202764977, 0.8225806451612904
3jscA, 0.8333333333333334, 0.7708333333333334, 0.7708333333333334, 0.6952380952380952, 0.5729166666666666
3c18A, 0.9772727272727273, 0.9228070175438596, 0.9087719298245615, 0.8275862068965517, 0.887719298245614
3ed4B, 0.9050279329608939, 0.8776371308016878, 0.8649789029535865, 0.7908366533864541, 0.7911392405063291
3o8qA, 0.99, 0.9444444444444444, 0.9037037037037037, 0.8078291814946619, 0.8740740740740741
2qedA, 0.9655172413793104, 0.8928571428571429, 0.873015873015873, 0.751937984496124, 0.8650793650793651
1m2hA, 0.9651162790697675, 0.9116465863453815, 0.8835341365461847, 0.7871485943775101, 0.8634538152610441
3hhaD, 0.8928571428571429, 0.7909090909090909, 0.7454545454545455, 0.7818181818181819, 0.7727272727272727
3gg9B, 0.9045801526717557, 0.8771929824561403, 0.8742690058479532, 0.7926136363636364, 0.7953216374269005
3o2tA, 0.9768339768339769, 0.9473684210526315, 0.9375, 0.8860103626943006, 0.930921052631579
3lbeD, 0.9239130434782609, 0.9105691056910569, 0.8699186991869918, 0.7852760736196319, 0.7967479674796748
1y20A, 0.9068627450980392, 0.8118466898954704, 0.7979094076655052, 0.815068493150685, 0.8118466898954704
2oebA, 0.9552238805970149, 0.9276315789473685, 0.9276315789473685, 0.8903225806451613, 0.9078947368421053
1yqdA, 0.9669421487603306, 0.8690807799442897, 0.8941504178272981, 0.8060109289617486, 0.8050139275766016
