PDB, CONSENSUS, DSSP, STRIDE, KAKSI, PROSS
1m2hA, 1.0, 0.8604651162790697, 0.8444444444444444, 0.7441860465116279, 0.8378378378378378
3hhaD, 0.7894736842105263, 0.7317073170731707, 0.6818181818181818, 0.6410256410256411, 0.525
3gg9B, 0.9534883720930233, 0.9565217391304348, 0.9183673469387755, 0.7758620689655172, 0.6567164179104478
3lbeD, 0.975, 0.9152542372881356, 0.8571428571428571, 0.8596491228070176, 0.9333333333333333
1y20A, 0.8695652173913043, 0.7183098591549296, 0.6986301369863014, 0.7307692307692307, 0.6811594202898551
1yqdA, 1.0, 0.8709677419354839, 0.87, 0.8314606741573034, 0.8055555555555556
2aexA, 0.9433962264150944, 0.759493670886076, 0.759493670886076, 0.7671232876712328, 0.7910447761194029
2j5gA, 1.0, 0.8333333333333334, 0.7954545454545454, 0.7906976744186046, 0.8333333333333334
2g84A, 0.95, 0.9285714285714286, 0.9285714285714286, 0.9310344827586207, 0.8571428571428571
2zuxB, 0.8970588235294118, 0.8333333333333334, 0.8064516129032258, 0.7565217391304347, 0.7616580310880829
2cw5B, 0.9565217391304348, 0.8548387096774194, 0.828125, 0.7236842105263158, 0.7931034482758621
3d32A, 0.85, 0.8181818181818182, 0.8181818181818182, 0.7407407407407407, 0.7142857142857143
1khiA, 0.8333333333333334, 0.8441558441558441, 0.7738095238095238, 0.7283950617283951, 0.7777777777777778
3imhA, 0.8037383177570093, 0.7253521126760564, 0.7094594594594594, 0.6842105263157895, 0.7421875
3kmtC, 0.9117647058823529, 0.8260869565217391, 0.76, 0.6730769230769231, 0.723404255319149
1l5oA, 0.8333333333333334, 0.71875, 0.71875, 0.71875, 0.6666666666666666
3bv6D, 0.9444444444444444, 0.9090909090909091, 0.875, 0.8055555555555556, 0.7916666666666666
3luiB, 1.0, 1.0, 1.0, 1.0, 1.0
1qwiC, 0.9534883720930233, 0.8627450980392157, 0.86, 0.8461538461538461, 0.9019607843137255
1v8yA, 0.9705882352941176, 0.9206349206349206, 0.9230769230769231, 0.8709677419354839, 0.8235294117647058
3odtA, 0.8968253968253969, 0.8647058823529412, 0.8596491228070176, 0.8148148148148148, 0.8759124087591241
3mnmB, 1.0, 0.9523809523809523, 0.9322033898305084, 0.8548387096774194, 0.9777777777777777
3oosA, 0.925, 0.9056603773584906, 0.9056603773584906, 0.7843137254901961, 0.8541666666666666
3kxwA, 0.9824561403508771, 0.8444444444444444, 0.8347107438016529, 0.8175182481751825, 0.8313253012048193
3p48A, 0.7692307692307693, 0.75, 0.7586206896551724, 0.6774193548387096, 0.75
1xocA, 0.9325842696629213, 0.8559322033898306, 0.8145161290322581, 0.7906976744186046, 0.7522123893805309
3gzxB, 0.9803921568627451, 0.8955223880597015, 0.8955223880597015, 0.835820895522388, 0.8524590163934426
3nx3A, 0.9473684210526315, 0.8611111111111112, 0.8840579710144928, 0.8305084745762712, 0.7419354838709677
