PDB, CONSENSUS, DSSP, STRIDE, KAKSI, PROSS
2o4aA, 0.8, 0.7391304347826086, 0.8095238095238095, 0.7692307692307693, 0.7727272727272727
3la7B, 0.8888888888888888, 0.8769230769230769, 0.9259259259259259, 0.7865168539325843, 0.7162162162162162
1qv9C, 0.8983050847457628, 0.8586956521739131, 0.7596153846153846, 0.875, 0.6171875
2p67A, 0.8846153846153846, 0.8241758241758241, 0.8734177215189873, 0.8317757009345794, 0.8181818181818182
2zo7A, 0.9821428571428571, 0.9213483146067416, 0.9518072289156626, 0.9012345679012346, 0.8876404494382022
3a9bA, 0.9178082191780822, 0.8870967741935484, 0.9, 0.91, 0.8811881188118812
2pdrB, 0.84, 0.8285714285714286, 0.8428571428571429, 0.8032786885245902, 0.6933333333333334
3pnaA, 0.9090909090909091, 0.8222222222222222, 0.8378378378378378, 0.6935483870967742, 0.6296296296296297
3cqbB, 0.9473684210526315, 0.8064516129032258, 0.7297297297297297, 0.7058823529411765, 0.7105263157894737
2j7uA, 0.8427672955974843, 0.803347280334728, 0.8266666666666667, 0.8035087719298246, 0.7016129032258065
1vmeB, 0.96, 0.8758169934640523, 0.868421052631579, 0.8523489932885906, 0.7810650887573964
1v4vA, 0.9775280898876404, 0.9117647058823529, 0.8970588235294118, 0.9464285714285714, 0.8187919463087249
1wrmA, 0.9487179487179487, 0.8688524590163934, 0.9019607843137255, 0.8947368421052632, 0.7714285714285715
3lncB, 0.9166666666666666, 0.746268656716418, 0.8, 0.7254901960784313, 0.8095238095238095
3dwvB, 0.8108108108108109, 0.71875, 0.7528089887640449, 0.7355371900826446, 0.73
3me7B, 0.8727272727272727, 0.8472222222222222, 0.8382352941176471, 0.8227848101265823, 0.7721518987341772
2jekA, 1.0, 0.8545454545454545, 0.8958333333333334, 0.975, 0.7758620689655172
3gj0B, 0.8478260869565217, 0.8205128205128205, 0.8484848484848485, 0.8617021276595744, 0.7415730337078652
3d8tA, 0.8604651162790697, 0.8554216867469879, 0.8717948717948718, 0.875, 0.8433734939759037
3nrfA, 1.0, 0.9393939393939394, 0.8787878787878788, 0.7647058823529411, 0.7090909090909091
2p7iB, 0.851063829787234, 0.8, 0.8513513513513513, 0.7040816326530612, 0.6226415094339622
2i0kA, 0.917098445595855, 0.8828125, 0.88, 0.8825910931174089, 0.8083623693379791
2eu9A, 0.9805825242718447, 0.9324324324324325, 0.9436619718309859, 0.8421052631578947, 0.7525773195876289
2jjqA, 0.921875, 0.8876404494382022, 0.9069767441860465, 0.8383838383838383, 0.8105263157894737
1cg5A, 0.72, 0.6571428571428571, 0.6764705882352942, 0.6785714285714286, 0.5952380952380952
